,coef,SE_HC3,t_HC3,p_HC3
CPE,0.001784419653153764,0.0006519062256057239,2.737233643528647,0.006195827118905088
OilInventories,-1.660890101930087e-05,6.1957843062755615e-06,-2.680677731546935,0.007347323606534735
opec_2014_shock,-0.8997083197691791,0.376584994285569,-2.389124190877662,0.01688859235948667
RealInterestRate,0.35922413808315423,0.1682754586920142,2.1347387246801297,0.0327823579447989
gfc_2008_shock,-1.628819711275077,0.7645272798026395,-2.130492598897913,0.033130966194426036
MA_ratio,-6.418400754555977,3.2352640178032956,-1.9838877814101836,0.04726835133664422
cond_opec_cut,-0.2020607293493748,0.10461197824500398,-1.9315257462787225,0.05341806853458599
oil_diff_lag1,-0.06305663990962454,0.03270739236577325,-1.9279017784251844,0.053867344504938845
VIX,-0.038314112603832114,0.02117329860802061,-1.8095485882071503,0.0703658188093412
MA_5_gt_MA_20,0.41913526491922204,0.23730745770352593,1.7662119386187098,0.07736029886598751
war_2022_window,2.5431746669558244,1.5900996027382304,1.5993807322361138,0.10973603086703787
war_2022_shock,-1.2731316070702627,0.8890864370677923,-1.4319548178791834,0.15215675235497977
is_friday,-0.12341805245353725,0.089904598728794,-1.3727668461747975,0.16982484061517256
oil_volatility_20,0.12764546553730827,0.10052741979178502,1.2697577019453086,0.20417095185698786
opec_2014_regime,-0.13939715616641152,0.11004927246435417,-1.2666794886041919,0.20526991707863318
IndustryProduction,-0.10807990399689044,0.0894376605740644,-1.2084384061833569,0.22687867438048948
OilPrice,-0.15424603873685433,0.1370240689739285,-1.125685727273233,0.26029856716108923
OPECProduction,-0.00013945225187926265,0.00014826992644428102,-0.9405295815781497,0.3469459833463545
covid_2020_shock,-0.8346474510995674,1.341204891200606,-0.6223116666033154,0.5337369512725288
