bin,x_min,x_max,mean_x,mean_shap,mean_abs_shap,positive_ratio,negative_ratio,variable,bin_order,sign_by_bin,overall_sign
"(0.195, 0.968]",0.1962509225092251,0.9680332237272116,0.9313967909303238,0.3417238446551069,0.3673512429292275,0.8614583333333333,0.13854166666666667,MA_ratio,1,+,+
"(0.968, 0.995]",0.968048025811229,0.994971910984202,0.9824278147453781,-0.0030371581226209914,0.06951163148833277,0.46715328467153283,0.5328467153284672,MA_ratio,2,-,+
"(0.995, 1.014]",0.995008518396748,1.0137938162361564,1.0045893862524078,-0.06423731180359886,0.07804120602288904,0.09895833333333333,0.9010416666666666,MA_ratio,3,-,+
"(1.014, 1.034]",1.0138052450798838,1.0340371865598557,1.0233264526982035,-0.07619756341847828,0.09276857882847407,0.12200208550573514,0.8779979144942649,MA_ratio,4,-,+
"(1.034, 1.536]",1.0340591622878237,1.536027449485322,1.0637001978051537,-0.09188649784550246,0.15630974286033072,0.24166666666666667,0.7583333333333333,MA_ratio,5,-,+
"(-55.291, -1.1]",-55.28999999999999,-1.1000000000000083,-2.350551508844953,0.16480276409312733,0.2357356697579584,0.8054110301768991,0.19458896982310095,OilPrice,1,+,-
"(-1.1, -0.25]",-1.1000000000000014,-0.25,-0.6318865979381444,0.03335140820063212,0.06930056291853001,0.6969072164948453,0.3030927835051546,OilPrice,2,+,-
"(-0.25, 0.37]",-0.2400000000000091,0.3699999999999974,0.06648109243697478,0.00791576897751917,0.04074205457922337,0.5304621848739496,0.4695378151260504,OilPrice,3,+,-
"(0.37, 1.13]",0.3700000000000045,1.1299999999999957,0.7255183246073299,-0.039753616874212,0.05870726412374692,0.2607329842931937,0.7392670157068063,OilPrice,4,-,-
"(1.13, 45.89]",1.1300000000000026,45.89,2.245791666666667,-0.17037979496645403,0.29300534962220853,0.109375,0.890625,OilPrice,5,-,-
"(0.462, 0.962]",0.4632525172482468,0.9622827847856033,0.8086249746114315,-0.014479014636650809,0.0398772632755449,0.49583333333333335,0.5041666666666667,oil_volatility_20,1,-,-
"(0.962, 1.201]",0.9624709154867446,1.2013206548584596,1.0805348494923932,-0.01081267543091187,0.06828261129759175,0.5078206465067779,0.4921793534932221,oil_volatility_20,2,-,-
"(1.201, 1.467]",1.201360960700294,1.4663125070806196,1.328062340766155,0.006891278070126666,0.042765928065528355,0.5604166666666667,0.4395833333333333,oil_volatility_20,3,+,-
"(1.467, 1.908]",1.4683154508340135,1.9074877388031128,1.660561240229551,0.04823540170050618,0.06802789669626201,0.7841501564129302,0.21584984358706985,oil_volatility_20,4,+,-
"(1.908, 16.713]",1.9078574370219616,16.712560821445834,3.009769186492375,-0.04857787448414271,0.45811878219935487,0.484375,0.515625,oil_volatility_20,5,-,-
"(-55.291, -1.1]",-55.28999999999999,-1.1000000000000083,-2.350551508844953,0.09930081151281482,0.17201964486615964,0.7440166493236212,0.2559833506763788,oil_diff_lag1,1,+,+
"(-1.1, -0.25]",-1.1000000000000014,-0.25,-0.6318865979381444,0.033139628654863425,0.05266927506312225,0.7536082474226804,0.2463917525773196,oil_diff_lag1,2,+,+
"(-0.25, 0.37]",-0.2400000000000091,0.3699999999999974,0.06648109243697478,0.01094533459412615,0.034543914686907144,0.6271008403361344,0.37289915966386555,oil_diff_lag1,3,+,+
