group,n_vars,n_sig_0.05,mean_abs_std_beta,n_positive,n_negative
가격/추세,3.0,1.0,0.23555560191395655,1.0,2.0
기타,6.0,2.0,0.16045678238026848,1.0,5.0
변동성,1.0,0.0,0.15963683899675038,1.0,0.0
더미/이벤트,7.0,2.0,0.107339530668366,1.0,6.0
거시,2.0,1.0,0.07421126808803716,1.0,1.0
