fold,valid_start,valid_end,n_valid,RMSE,MAE,R2,DirAcc
1,2009-08-20,2012-03-02,639,1.666224081376152,1.268397386877042,0.02383452566809552,0.5336463223787168
2,2012-03-05,2014-09-15,639,1.288474634881486,0.9606728003879467,-0.003294490728023902,0.5289514866979655
3,2014-09-16,2017-03-29,639,1.3251891392281185,1.0135010488919225,-0.00448379742942695,0.4569640062597809
4,2017-03-30,2019-10-17,639,1.1501702506559122,0.8164654365995005,0.0015186828103800343,0.5039123630672926
5,2019-10-18,2022-05-05,639,3.443566377458195,1.4289234120183547,0.005607315495304799,0.5258215962441315
