date,sentiment_financial,oil_relevance_financial,news_count_financial,positive_prob_financial,neutral_prob_financial,negative_prob_financial
2007-08-09,-0.1385569552425295,1.7,20,0.24591110246255993,0.3696208379231393,0.38446805770508946
2007-08-15,-0.9597332905977964,2.0,1,0.009012596681714058,0.022241592407226562,0.9687458872795105
2007-08-20,0.8692271299660206,2.0,1,0.8819857835769653,0.1052556037902832,0.012758653610944748
2007-09-05,-0.32708629220724106,2.0,1,0.07473764568567276,0.5234383940696716,0.4018239378929138
2007-09-17,0.003652099519968033,2.0,1,0.03862649202346802,0.9263991117477417,0.034974392503499985
2007-10-01,-0.5087220221757889,2.0,1,0.16094277799129486,0.16939249634742737,0.6696648001670837
2007-10-11,-0.007117578759789467,2.0,1,0.022525345906615257,0.9478316903114319,0.029642924666404724
2007-10-22,0.6347429640591145,2.0,1,0.6709594130516052,0.2928240895271301,0.03621644899249077
2007-10-31,0.14320054650306702,2.0,1,0.31333455443382263,0.5165315270423889,0.17013400793075562
2007-11-04,0.04458686709403992,1.0,1,0.13010096549987793,0.7843849658966064,0.08551409840583801
2007-11-06,-0.5083532631397247,3.0,1,0.20883360505104065,0.07397947460412979,0.7171868681907654
2007-11-08,-0.9501478392630816,2.0,1,0.011785594746470451,0.02628098428249359,0.961933434009552
2007-11-26,0.17609691247344017,1.0,1,0.22785258293151855,0.7203918099403381,0.051755670458078384
2007-12-05,-0.06078796926885843,1.0,2,0.35672592371702194,0.2257602047175169,0.4175138929858804
2007-12-06,-0.19416537880897522,3.0,1,0.3164699971675873,0.17289458215236664,0.5106353759765625
2007-12-08,-0.7697716802358627,3.0,1,0.01712144911289215,0.1959853619337082,0.7868931293487549
2007-12-12,0.11354977637529373,2.0,1,0.12875649333000183,0.8560368418693542,0.0152067169547081
2007-12-14,0.608597056940198,2.0,1,0.6182567477226257,0.37208351492881775,0.009659690782427788
2008-01-07,-0.9153543822467327,2.0,1,0.012791264802217484,0.05906306579709053,0.9281456470489502
2008-01-16,-0.017362887039780617,2.0,2,0.21923640370368958,0.5441643446683884,0.2365992907434702
2008-01-22,-0.9296739622950554,1.5,2,0.01770675927400589,0.034912535920739174,0.9473807215690613
2008-01-29,0.8992815557867289,2.0,1,0.9091970324516296,0.0808875784277916,0.00991547666490078
2008-02-20,-0.0521664023399353,1.0,1,0.2121429443359375,0.5235477089881897,0.2643093466758728
2008-02-21,0.10148277878761292,2.0,1,0.5283803343772888,0.044722117483615875,0.4268975555896759
2008-02-26,-0.9116091690957546,3.0,1,0.03535670414566994,0.017677390947937965,0.9469658732414246
2008-03-06,0.9311377163976431,1.0,1,0.9514964818954468,0.028144828975200653,0.020358765497803688
2008-03-07,-0.6435128673911095,2.0,1,0.06589988619089127,0.22468732297420502,0.7094127535820007
2008-03-10,-0.6002909541130066,3.0,1,0.18400144577026367,0.03170618787407875,0.7842923998832703
2008-04-08,0.039480969309806824,1.0,1,0.11155806481838226,0.8163648247718811,0.07207709550857544
2008-04-24,-0.4673141990788281,1.5,2,0.027704161126166582,0.4772774539887905,0.4950183602049947
2008-04-25,0.8088514897972345,2.0,1,0.8281181454658508,0.1526152491569519,0.019266655668616295
2008-04-28,0.8414681814610958,3.0,1,0.8982934951782227,0.04488125443458557,0.056825313717126846
2008-05-06,0.7382117239758372,1.0,1,0.7491601705551147,0.23989130556583405,0.010948446579277515
2008-05-07,-0.0954763782210648,1.5,2,0.3749141348525882,0.15469533950090408,0.470390513073653
2008-05-09,-0.8914509452879429,3.0,1,0.03288983926177025,0.04276932775974274,0.9243407845497131
2008-05-13,-0.004564665257930756,1.0,1,0.08983899652957916,0.8157573342323303,0.09440366178750992
2008-05-14,-0.03198542445898056,1.0,1,0.02661457657814026,0.9147854447364807,0.05860000103712082
2008-05-20,-0.3861939311027527,1.0,1,0.1407405138015747,0.3323250114917755,0.5269344449043274
2008-05-21,-0.9182426333427429,2.0,1,0.021291494369506836,0.03917435184121132,0.9395341277122498
2008-05-29,-0.310851089656353,1.0,1,0.07597712427377701,0.5371946096420288,0.38682821393013
2008-06-04,0.024496929720044136,3.0,1,0.045185260474681854,0.9341263771057129,0.020688330754637718
2008-06-06,-0.9439202751964331,3.0,1,0.019642630591988564,0.016794459894299507,0.9635629057884216
2008-06-08,-0.9509360371157527,1.5,2,0.013160032220184803,0.022743904031813145,0.9640960693359375
2008-06-09,0.15604506619274616,2.0,1,0.18510235846042633,0.7858403325080872,0.029057292267680168
2008-06-17,-0.7327802199870348,1.0,1,0.030671952292323112,0.20587585866451263,0.7634521722793579
2008-06-19,-0.8601043857634068,1.5,2,0.040246691554784775,0.059402271173894405,0.9003510773181915
2008-06-25,-0.4140355531126261,1.5,2,0.03150475490838289,0.5229548998177052,0.44554030802100897
2008-06-30,-0.9454417256638408,2.0,1,0.013398227281868458,0.02776181884109974,0.9588399529457092
2008-07-02,-0.12472739815711975,3.0,1,0.38456258177757263,0.10614742338657379,0.5092899799346924
2008-07-04,0.40209751948714256,2.0,2,0.465299092233181,0.47149933129549026,0.06320157274603844
2008-07-09,0.05046391487121582,2.0,1,0.07872571051120758,0.893012523651123,0.02826179563999176
2008-07-14,0.10534232389181852,2.0,1,0.11651837080717087,0.8723056316375732,0.011176046915352345
2008-07-22,0.4581777900457382,2.0,1,0.6176071166992188,0.2229636013507843,0.15942932665348053
2008-07-27,0.8260291554033756,1.0,1,0.8859507441520691,0.05412764847278595,0.059921588748693466
2008-08-04,-0.01090656965970993,1.0,1,0.03821215778589249,0.9126690626144409,0.04911872744560242
2008-08-05,-0.9437175886705518,2.0,1,0.00858385395258665,0.03911476582288742,0.9523014426231384
2008-08-11,0.05894329771399498,1.0,1,0.09560519456863403,0.8677328824996948,0.03666189685463905
2008-08-14,-0.38971930369734764,2.0,2,0.07536244485527277,0.459555771201849,0.4650817485526204
2008-08-15,0.9172500818967819,2.0,1,0.9361840486526489,0.044881999492645264,0.018933966755867004
2008-08-18,-0.3067934215068817,1.0,1,0.3210030496120453,0.051200564950704575,0.627796471118927
2008-08-20,-0.9492867160588503,3.0,1,0.014958662912249565,0.02079596370458603,0.9642453789710999
2008-08-31,0.248966203071177,2.0,1,0.26373347640037537,0.7214992642402649,0.01476727332919836
2008-09-01,-0.9528927551582456,1.0,1,0.01227125059813261,0.022564763203263283,0.9651640057563782
2008-09-02,0.007335394620895386,2.0,1,0.45125681161880493,0.10482178628444672,0.44392141699790955
2008-09-03,0.05141368508338928,2.0,1,0.5065042972564697,0.038405124098062515,0.45509061217308044
2008-09-09,-0.3102049045264721,2.0,2,0.1048156232573092,0.4801638200879097,0.4150205277837813
2008-09-10,-0.25128953717648983,2.0,1,0.029518673196434975,0.6896730661392212,0.2808082103729248
2008-09-11,-0.8162551373243332,2.0,1,0.034070923924446106,0.115603007376194,0.8503260612487793
2008-09-18,0.5788912028074265,2.0,1,0.7668293714523315,0.04523247107863426,0.1879381686449051
2008-09-19,0.1935000717639923,2.0,1,0.5229389667510986,0.14762212336063385,0.3294388949871063
2008-09-22,0.5271989330649376,1.0,1,0.6505091190338135,0.22618070244789124,0.12331018596887589
2008-09-23,-0.9270144402980804,1.0,1,0.01296946406364441,0.047046639025211334,0.9399839043617249
2008-09-28,-0.8041583001613617,3.0,1,0.07230690121650696,0.051227860152721405,0.8764652013778687
2008-09-30,-0.9322100458666682,1.0,1,0.014582556672394276,0.0386248454451561,0.9467926025390625
2008-10-02,-0.00901493988931179,1.5,2,0.05152055062353611,0.8879439234733582,0.0605354905128479
2008-10-06,-0.8234205730259418,2.0,1,0.023281943053007126,0.1300155520439148,0.846702516078949
2008-10-07,-0.4189335033297539,2.0,1,0.05262494832277298,0.47581666707992554,0.47155845165252686
2008-10-09,0.2050212612375617,1.0,1,0.21704459190368652,0.770932137966156,0.01202333066612482
2008-10-15,-0.8668800592422485,3.0,1,0.03877204656600952,0.055575840175151825,0.9056521058082581
2008-10-17,-0.341289259493351,1.0,2,0.21196163445711136,0.2347874753177166,0.5532508939504623
2008-10-24,0.9169176258146763,2.0,1,0.9369598627090454,0.04299798607826233,0.020042236894369125
2008-10-28,-0.9562170142307878,1.0,1,0.011508441530168056,0.020766109228134155,0.9677254557609558
2008-10-30,-0.9159566536545753,1.0,1,0.032155297696590424,0.019732853397727013,0.9481119513511658
2008-11-12,-0.7966220509260893,2.0,1,0.030726181343197823,0.1419256329536438,0.8273482322692871
2008-11-15,-0.12851667404174805,1.0,1,0.1773579716682434,0.5167673826217651,0.30587464570999146
2008-11-16,-0.9557815119624138,1.0,1,0.00837910920381546,0.027460282668471336,0.9641606211662292
2008-11-19,-0.9629977284930646,3.0,1,0.007345682475715876,0.022310970351099968,0.9703434109687805
2008-11-20,-0.9206471033394337,3.0,1,0.02318088337779045,0.03299124166369438,0.9438279867172241
2008-11-25,0.36123794317245483,1.0,1,0.6608320474624634,0.03957385569810867,0.29959410429000854
2008-12-02,-0.6606583297252655,1.0,1,0.1519603431224823,0.03542105481028557,0.8126186728477478
2008-12-12,0.07235685735940933,2.0,1,0.11513447761535645,0.8420879244804382,0.04277762025594711
2008-12-19,-0.9625721657648683,2.0,1,0.00861459132283926,0.02019874006509781,0.9711867570877075
2009-01-13,0.6972234696149826,1.0,1,0.7622643113136292,0.1726948469877243,0.06504084169864655
2009-01-14,0.8327515944838524,1.0,1,0.8937039971351624,0.04534353315830231,0.06095240265130997
2009-01-15,0.0112190842628479,1.0,1,0.4855269193649292,0.040165238082408905,0.4743078351020813
2009-01-21,0.03273395821452141,1.5,2,0.055743759498000145,0.9212463796138763,0.023009801283478737
2009-01-30,-0.9610536266118288,2.0,1,0.00860421173274517,0.021737970411777496,0.969657838344574
2009-02-09,-0.9554251777008176,2.0,1,0.010747755877673626,0.02307930216193199,0.9661729335784912
2009-02-12,0.7346907183527946,1.0,1,0.8327813148498535,0.06912801414728165,0.09809059649705887
2009-02-14,0.4708881452679634,2.0,1,0.5237824320793152,0.4233233332633972,0.052894286811351776
2009-02-17,0.28395717311650515,2.0,1,0.2946459949016571,0.6946651935577393,0.010688821785151958
2009-02-20,0.17011996917426586,2.0,1,0.19172194600105286,0.7866761088371277,0.021601976826786995
2009-02-27,-0.9330573659390211,2.0,1,0.019892634823918343,0.027157485485076904,0.9529500007629395
2009-03-02,-0.7985184267163277,2.0,1,0.08206301182508469,0.037355516105890274,0.8805814385414124
2009-03-13,-0.21790900081396103,1.0,1,0.1206214502453804,0.5408481359481812,0.33853045105934143
2009-03-19,0.8743322975933552,3.0,1,0.9181835055351257,0.037965208292007446,0.043851207941770554
2009-03-24,-0.9545130394399166,2.0,1,0.011383209377527237,0.022720543667674065,0.9658962488174438
2009-04-02,0.0043015629053115845,1.0,1,0.03192267194390297,0.940456211566925,0.027621109038591385
2009-05-06,-0.6028720140457153,1.0,1,0.18501228094100952,0.027103394269943237,0.7878842949867249
2009-05-08,-0.7745703719556332,2.0,1,0.020376000553369522,0.1846776008605957,0.7949463725090027
2009-05-11,-0.9373275823891163,1.0,1,0.01147560402750969,0.03972117602825165,0.948803186416626
2009-05-27,-0.8644408769905567,2.0,1,0.033283453434705734,0.06899221986532211,0.8977243304252625
2009-06-11,-0.03637970797717571,1.5,2,0.46407504193484783,0.035470232367515564,0.5004547499120235
2009-06-16,0.18335824832320213,2.0,1,0.20688605308532715,0.7695861458778381,0.023527804762125015
2009-06-24,-0.7806074917316437,2.0,1,0.06735321879386902,0.08468610048294067,0.8479607105255127
2009-07-01,0.024496929720044136,3.0,1,0.045185260474681854,0.9341263771057129,0.020688330754637718
2009-07-03,-0.7863191142678261,1.0,1,0.02035381644964218,0.17297324538230896,0.8066729307174683
2009-07-15,0.8094040267169476,2.0,1,0.8178330659866333,0.1737378090620041,0.008429039269685745
2009-07-28,0.4361196905374527,1.5,2,0.48689603991806507,0.462327565997839,0.05077634938061237
2009-08-04,-0.9106231536716223,2.0,1,0.020153919234871864,0.049068912863731384,0.9307770729064941
2009-08-11,0.8585733249783516,2.0,1,0.9009450078010559,0.05668332800269127,0.042371682822704315
