date,sentiment_geopolitical,oil_relevance_geopolitical,news_count_geopolitical,positive_prob_geopolitical,neutral_prob_geopolitical,negative_prob_geopolitical
2007-08-09,-0.0661295099506298,1.7115384615384615,52,0.20737458049104765,0.519121325467355,0.27350409044167745
2007-08-13,0.04834708757698536,1.0,1,0.06565074622631073,0.917045533657074,0.01730365864932537
2007-08-15,-0.28188083196679753,1.6666666666666667,3,0.056712960824370384,0.6046932538350424,0.3385937927911679
2007-08-18,-0.20275869220495224,1.0,1,0.051351942121982574,0.6945374011993408,0.2541106343269348
2007-08-20,0.8692271299660206,2.0,1,0.8819857835769653,0.1052556037902832,0.012758653610944748
2007-09-04,-0.5366321541368961,1.5,2,0.022641997784376144,0.4180838018655777,0.5592741519212723
2007-09-05,-0.32708629220724106,2.0,1,0.07473764568567276,0.5234383940696716,0.4018239378929138
2007-09-06,0.9292320962995291,1.0,1,0.9540695548057556,0.021093014627695084,0.02483745850622654
2007-09-08,0.08988802880048752,2.0,1,0.11861550807952881,0.8526569604873657,0.02872747927904129
2007-09-10,-0.7502778507769108,2.0,1,0.031104829162359238,0.18751245737075806,0.78138267993927
2007-09-11,0.09091874957084656,1.0,1,0.11491350829601288,0.8610917925834656,0.02399475872516632
2007-09-17,0.005956570617854595,3.0,2,0.036964792758226395,0.9320269823074341,0.0310082221403718
2007-10-01,-0.5087220221757889,2.0,1,0.16094277799129486,0.16939249634742737,0.6696648001670837
2007-10-05,0.4386506797745824,1.5,2,0.6632441878318787,0.112162284553051,0.22459350805729628
2007-10-08,0.3365976344794035,2.0,1,0.3540012836456299,0.6285951137542725,0.017403649166226387
2007-10-09,-0.3964538089931011,2.0,1,0.025578219443559647,0.5523897409439087,0.42203202843666077
2007-10-11,-0.007117578759789467,2.0,1,0.022525345906615257,0.9478316903114319,0.029642924666404724
2007-10-12,-0.8501120526343584,2.0,1,0.021180180832743645,0.10752760618925095,0.871292233467102
2007-10-15,0.7942008739337325,1.0,1,0.8062525391578674,0.18169571459293365,0.012051665224134922
2007-10-22,0.6347429640591145,2.0,1,0.6709594130516052,0.2928240895271301,0.03621644899249077
2007-10-23,-0.05235445871949196,2.0,1,0.026633892208337784,0.8943777680397034,0.07898835092782974
2007-10-25,0.11549228988587856,1.0,1,0.13116884231567383,0.8531546592712402,0.015676552429795265
2007-10-29,-0.015178725123405457,2.0,1,0.04475720599293709,0.8953068256378174,0.059935931116342545
2007-10-31,0.14320054650306702,3.0,1,0.31333455443382263,0.5165315270423889,0.17013400793075562
2007-11-01,0.024135587736964226,1.0,1,0.047092877328395844,0.9299498796463013,0.022957289591431618
2007-11-04,0.04458686709403992,1.0,1,0.13010096549987793,0.7843849658966064,0.08551409840583801
2007-11-05,-0.9191031530499458,2.0,1,0.00964163988828659,0.06161357834935188,0.9287447929382324
2007-11-06,-0.5083532631397247,2.0,1,0.20883360505104065,0.07397947460412979,0.7171868681907654
2007-11-08,-0.6066265224168698,1.6666666666666667,3,0.036954810842871666,0.3194639024635156,0.6435813332597414
2007-11-11,0.05644287168979645,1.0,1,0.0952364131808281,0.8659700751304626,0.03879354149103165
2007-11-13,0.30828831251710653,1.5,2,0.4469418227672577,0.4144046679139137,0.13865351025015116
2007-11-14,0.06350288353860378,2.0,1,0.08889216929674149,0.885718584060669,0.025389285758137703
2007-11-18,-0.2257722243666649,1.0,1,0.04055122286081314,0.6931253671646118,0.266323447227478
2007-11-20,0.17008386552333832,1.0,1,0.34649696946144104,0.4770899713039398,0.17641310393810272
2007-11-22,0.40560461580753326,1.0,1,0.4791233241558075,0.44735798239707947,0.07351870834827423
2007-11-26,0.17609691247344017,1.0,1,0.22785258293151855,0.7203918099403381,0.051755670458078384
2007-11-27,-0.5047463551163673,2.0,1,0.10098185390233994,0.2932899296283722,0.6057282090187073
2007-12-05,0.5648639481514692,1.0,1,0.5809757113456726,0.40291258692741394,0.016111763194203377
2007-12-06,-0.19416537880897522,2.0,1,0.3164699971675873,0.17289458215236664,0.5106353759765625
2007-12-08,-0.7697716802358627,3.0,1,0.01712144911289215,0.1959853619337082,0.7868931293487549
2007-12-12,0.21585687808692455,1.5,2,0.25175175070762634,0.7123534083366394,0.03589487262070179
2007-12-14,0.608597056940198,2.0,1,0.6182567477226257,0.37208351492881775,0.009659690782427788
2008-01-07,-0.9153543822467327,2.0,1,0.012791264802217484,0.05906306579709053,0.9281456470489502
2008-01-15,0.13035092875361443,1.0,1,0.14384417235851288,0.8426625728607178,0.013493243604898453
2008-01-16,-0.017362887039780617,2.0,2,0.21923640370368958,0.5441643446683884,0.2365992907434702
2008-01-21,0.8889802973717451,1.0,1,0.9052443504333496,0.07849159836769104,0.0162640530616045
2008-01-22,-0.9296739622950554,2.0,2,0.01770675927400589,0.034912535920739174,0.9473807215690613
2008-01-27,0.13174966350197792,1.0,1,0.14359983801841736,0.8445500135421753,0.011850174516439438
2008-01-29,0.8992815557867289,2.0,1,0.9091970324516296,0.0808875784277916,0.00991547666490078
2008-02-05,-0.07340916059911251,1.0,1,0.024700352922081947,0.8771901726722717,0.09810951352119446
2008-02-13,0.0473739979788661,2.0,1,0.05936814472079277,0.928637683391571,0.01199414674192667
2008-02-15,0.09090171754360199,1.0,1,0.11516448855400085,0.8605726957321167,0.024262771010398865
