date,sentiment_demand,oil_relevance_demand,news_count_demand,positive_prob_demand,neutral_prob_demand,negative_prob_demand
2007-08-09,0.22125524540360159,1.8461538461538463,13,0.3173326925876049,0.5865898436078658,0.09607744718400332
2007-08-15,-0.9597332905977964,3.0,1,0.009012596681714058,0.022241592407226562,0.9687458872795105
2007-09-09,-0.95002815220505,1.0,1,0.01382478978484869,0.022322269156575203,0.9638529419898987
2007-10-22,0.6347429640591145,1.0,1,0.6709594130516052,0.2928240895271301,0.03621644899249077
2007-10-29,0.8491070372983813,2.0,1,0.8612967133522034,0.12651360034942627,0.01218967605382204
2007-10-31,0.14320054650306702,2.0,1,0.31333455443382263,0.5165315270423889,0.17013400793075562
2007-11-14,-0.9101717611774802,1.0,1,0.014435754157602787,0.06095678359270096,0.924607515335083
2007-12-01,0.9039307981729507,2.0,1,0.9270845651626587,0.04976159334182739,0.023153766989707947
2007-12-03,-0.24487220495939255,1.0,1,0.04181254655122757,0.6715027093887329,0.2866847515106201
2007-12-05,0.5648639481514692,1.0,1,0.5809757113456726,0.40291258692741394,0.016111763194203377
2007-12-06,-0.19416537880897522,2.0,1,0.3164699971675873,0.17289458215236664,0.5106353759765625
2007-12-08,-0.7697716802358627,2.0,1,0.01712144911289215,0.1959853619337082,0.7868931293487549
2008-01-07,-0.9153543822467327,2.0,1,0.012791264802217484,0.05906306579709053,0.9281456470489502
2008-01-10,0.9380427710711956,2.0,1,0.9538402557373047,0.030362293124198914,0.015797484666109085
2008-01-16,-0.017362887039780617,2.0,2,0.21923640370368958,0.5441643446683884,0.2365992907434702
2008-01-17,-0.928511880338192,1.0,2,0.015707679092884064,0.04007274657487869,0.944219559431076
2008-01-22,-0.9296739622950554,3.0,2,0.01770675927400589,0.034912535920739174,0.9473807215690613
2008-01-29,0.8992815557867289,2.0,1,0.9091970324516296,0.0808875784277916,0.00991547666490078
2008-02-26,-0.9116094075143337,2.0,1,0.03535664454102516,0.017677348107099533,0.9469660520553589
2008-02-27,0.576360740698874,1.0,1,0.5887591242790222,0.398842453956604,0.01239838358014822
2008-04-09,0.1580873727798462,2.0,1,0.5498635172843933,0.05836036056280136,0.3917761445045471
2008-04-24,-0.9626648416742682,1.0,1,0.007691801525652409,0.021951548755168915,0.9703566431999207
2008-04-25,0.8088514897972345,1.0,1,0.8281181454658508,0.1526152491569519,0.019266655668616295
2008-05-06,0.7382117239758372,2.0,1,0.7491601705551147,0.23989130556583405,0.010948446579277515
2008-05-07,-0.9088455531746149,2.0,1,0.017431428655982018,0.05629153549671173,0.9262769818305969
2008-05-20,-0.3861939311027527,2.0,1,0.1407405138015747,0.3323250114917755,0.5269344449043274
2008-05-28,-0.9527015760540962,3.0,1,0.011723391711711884,0.023851536214351654,0.9644249677658081
2008-06-09,0.15604506619274616,2.0,1,0.18510235846042633,0.7858403325080872,0.029057292267680168
2008-06-10,0.8095651175826788,2.0,1,0.8311095237731934,0.14734606444835663,0.021544406190514565
2008-06-17,-0.7327802199870348,1.0,1,0.030671952292323112,0.20587585866451263,0.7634521722793579
2008-06-20,0.4241031538695097,1.0,1,0.434709757566452,0.5546836256980896,0.01060660369694233
2008-07-04,0.09121005982160568,2.0,1,0.14176945388317108,0.8076711297035217,0.0505593940615654
2008-07-22,0.4581777900457382,2.0,1,0.6176071166992188,0.2229636013507843,0.15942932665348053
2008-07-27,0.8260291554033756,1.0,1,0.8859507441520691,0.05412764847278595,0.059921588748693466
2008-08-14,-0.8927440028637648,1.0,1,0.01679152436554432,0.07367288321256638,0.9095355272293091
2008-08-15,-0.2467363253235817,2.0,1,0.09172850102186203,0.5698067545890808,0.3384648263454437
2008-09-02,0.007335394620895386,2.0,1,0.45125681161880493,0.10482178628444672,0.44392141699790955
2008-09-03,0.05141368508338928,2.0,1,0.5065042972564697,0.038405124098062515,0.45509061217308044
