date,sentiment_supply,oil_relevance_supply,news_count_supply,positive_prob_supply,neutral_prob_supply,negative_prob_supply
2007-08-09,-0.011860447004437447,1.6666666666666667,6,0.37020539212971926,0.24772876283774772,0.3820658391341567
2007-08-15,-0.9597332905977964,1.0,1,0.009012596681714058,0.022241592407226562,0.9687458872795105
2007-09-17,0.008261041715741158,2.0,1,0.03530309349298477,0.9376548528671265,0.027042051777243614
2007-10-31,0.14320054650306702,2.0,1,0.31333455443382263,0.5165315270423889,0.17013400793075562
2007-11-14,0.06350288353860378,2.0,1,0.08889216929674149,0.885718584060669,0.025389285758137703
2007-11-19,-0.018856193870306015,1.0,1,0.029635123908519745,0.9218735694885254,0.04849131777882576
2007-12-08,-0.7697716802358627,2.0,1,0.01712144911289215,0.1959853619337082,0.7868931293487549
2007-12-10,-0.9161458294838667,1.0,1,0.02240815944969654,0.03903776779770851,0.9385539889335632
2008-01-06,0.9164061453193426,2.0,1,0.9460551142692566,0.02429598569869995,0.02964896894991398
2008-01-16,0.2562642805278301,3.0,1,0.2883877456188202,0.6794887781143188,0.032123465090990067
2008-01-22,-0.9365635737776756,1.0,1,0.01862332969903946,0.02618977800011635,0.9551869034767151
2008-02-26,-0.9116094075143337,1.0,1,0.03535664454102516,0.017677348107099533,0.9469660520553589
2008-02-29,-0.15080904588103294,2.0,1,0.043263036757707596,0.7626649141311646,0.19407208263874054
2008-04-24,-0.9626648416742682,3.0,1,0.007691801525652409,0.021951548755168915,0.9703566431999207
2008-04-25,0.8088514897972345,1.0,1,0.8281181454658508,0.1526152491569519,0.019266655668616295
2008-05-06,0.7382117239758372,1.0,1,0.7491601705551147,0.23989130556583405,0.010948446579277515
2008-05-13,-0.004564665257930756,2.0,1,0.08983899652957916,0.8157573342323303,0.09440366178750992
2008-05-20,-0.3861939311027527,1.0,1,0.1407405138015747,0.3323250114917755,0.5269344449043274
2008-05-21,-0.9182426333427429,2.0,1,0.021291494369506836,0.03917435184121132,0.9395341277122498
2008-06-09,0.15604506619274616,3.0,1,0.18510235846042633,0.7858403325080872,0.029057292267680168
2008-06-19,-0.823502916842699,2.0,1,0.04383079335093498,0.08883552253246307,0.867333710193634
2008-07-02,-0.12472739815711975,2.0,1,0.38456258177757263,0.10614742338657379,0.5092899799346924
2008-07-04,0.09121005982160568,1.0,1,0.14176945388317108,0.8076711297035217,0.0505593940615654
2008-07-22,0.4581777900457382,2.0,1,0.6176071166992188,0.2229636013507843,0.15942932665348053
2008-08-04,-0.01090656965970993,1.0,1,0.03821215778589249,0.9126690626144409,0.04911872744560242
2008-08-14,-0.8927440028637648,2.0,1,0.01679152436554432,0.07367288321256638,0.9095355272293091
2008-09-01,-0.9528927551582456,1.0,1,0.01227125059813261,0.022564763203263283,0.9651640057563782
2008-09-07,-0.6882201358675957,1.0,1,0.05243796855211258,0.20690393447875977,0.7406581044197083
2008-09-10,-0.25128953717648983,1.0,1,0.029518673196434975,0.6896730661392212,0.2808082103729248
2008-09-18,0.5788912028074265,1.0,1,0.7668293714523315,0.04523247107863426,0.1879381686449051
2008-09-22,0.5271989330649376,2.0,1,0.6505091190338135,0.22618070244789124,0.12331018596887589
2008-09-28,-0.8041583001613617,2.0,1,0.07230690121650696,0.051227860152721405,0.8764652013778687
2008-10-02,0.02705956995487213,2.0,1,0.05155326426029205,0.9239529967308044,0.024493694305419922
2008-11-12,-0.7966220509260893,1.0,1,0.030726181343197823,0.1419256329536438,0.8273482322692871
2008-11-15,0.2639880105853081,3.0,1,0.309672474861145,0.6446430087089539,0.045684464275836945
2008-11-19,-0.9629977284930646,1.0,1,0.007345682475715876,0.022310970351099968,0.9703434109687805
2008-11-25,0.36123794317245483,1.0,1,0.6608320474624634,0.03957385569810867,0.29959410429000854
2008-12-02,-0.6606583297252655,2.0,1,0.1519603431224823,0.03542105481028557,0.8126186728477478
2008-12-04,-0.6164090540260077,1.0,1,0.022190580144524574,0.33920973539352417,0.6385996341705322
2008-12-12,0.07235685735940933,1.0,1,0.11513447761535645,0.8420879244804382,0.04277762025594711
2008-12-19,-0.9625721657648683,1.0,1,0.00861459132283926,0.02019874006509781,0.9711867570877075
2009-01-13,0.6972234696149826,1.0,1,0.7622643113136292,0.1726948469877243,0.06504084169864655
2009-01-14,0.8327515944838524,1.0,1,0.8937039971351624,0.04534353315830231,0.06095240265130997
2009-01-21,0.025391239672899246,1.0,1,0.05051124840974808,0.924368679523468,0.02512000873684883
2009-01-30,-0.9610536266118288,2.0,1,0.00860421173274517,0.021737970411777496,0.969657838344574
2009-02-09,-0.9554251777008176,2.0,1,0.010747755877673626,0.02307930216193199,0.9661729335784912
2009-02-12,0.7346908003091812,2.0,1,0.8327814340591431,0.06912797689437866,0.09809063374996185
2009-02-14,0.4708881452679634,1.0,1,0.5237824320793152,0.4233233332633972,0.052894286811351776
2009-02-17,0.28395717311650515,2.0,1,0.2946459949016571,0.6946651935577393,0.010688821785151958
2009-03-02,-0.7985184267163277,1.0,1,0.08206301182508469,0.037355516105890274,0.8805814385414124
2009-03-13,-0.21790900081396103,3.0,1,0.1206214502453804,0.5408481359481812,0.33853045105934143
2009-05-08,-0.7745703719556332,1.0,1,0.020376000553369522,0.1846776008605957,0.7949463725090027
2009-05-22,0.9129068125039339,1.0,1,0.9413557052612305,0.03019542805850506,0.028448892757296562
2009-06-11,-0.9385348297655582,1.0,1,0.009186770766973495,0.043091706931591034,0.9477216005325317
2009-06-24,-0.7806074917316437,1.0,1,0.06735321879386902,0.08468610048294067,0.8479607105255127
2009-07-15,0.28206130862236023,1.0,1,0.6136052012443542,0.05485100299119949,0.331543892621994
2009-07-28,0.4361196905374527,2.0,2,0.48689603991806507,0.462327565997839,0.05077634938061237
2009-08-04,-0.9106231536716223,1.0,1,0.020153919234871864,0.049068912863731384,0.9307770729064941
2009-08-27,0.9345264825969934,1.0,1,0.9511703252792358,0.03218579292297363,0.016643842682242393
2009-09-05,-0.443592581897974,1.0,1,0.037290122359991074,0.48182716965675354,0.4808827042579651
2009-09-10,0.04205622524023056,3.0,1,0.06187361478805542,0.9183090329170227,0.01981738954782486
2009-10-06,0.8610812891274691,2.0,1,0.8798205852508545,0.10144007951021194,0.01873929612338543
2009-10-09,0.9270382113754749,2.0,1,0.9452832341194153,0.03647167608141899,0.018245022743940353
2009-10-15,0.16122251749038696,2.0,1,0.2879907190799713,0.5852410793304443,0.12676820158958435
2009-10-20,0.0818024417385459,1.0,1,0.09255228191614151,0.8966978788375854,0.010749840177595615
2009-11-07,-0.6103685721755028,2.0,1,0.06953320652246475,0.2505649924278259,0.6799017786979675
2009-11-19,-0.27708494663238525,1.0,1,0.3427554965019226,0.03740411624312401,0.6198404431343079
2009-11-30,-0.007564947009086609,2.0,1,0.037640027701854706,0.9171550273895264,0.045204974710941315
2009-12-03,-0.9210839755833149,1.0,1,0.018551062792539597,0.04181382432579994,0.9396350383758545
2009-12-14,0.022640224546194077,2.0,1,0.044335268437862396,0.9339696168899536,0.02169504389166832
2009-12-23,0.054243036545813084,2.0,1,0.06917958706617355,0.9158838987350464,0.01493655052036047
2010-01-22,0.8245545364916325,1.0,1,0.8494846224784851,0.12558527290821075,0.024930085986852646
2010-02-10,-0.9408701416105032,1.0,1,0.009108388796448708,0.04091302305459976,0.9499785304069519
2010-03-16,0.8950871340930462,1.0,1,0.9285434484481812,0.03800017014145851,0.033456314355134964
2010-04-05,0.10219715908169746,1.0,1,0.13296841084957123,0.8362603783607483,0.030771251767873764
2010-04-11,0.14139021560549736,1.0,1,0.20107120275497437,0.7392477989196777,0.059680987149477005
2010-04-13,0.2514977138489485,3.0,1,0.2754862606525421,0.700525164604187,0.023988546803593636
2010-05-04,-0.9137588627636433,3.0,1,0.03549731895327568,0.015246503055095673,0.949256181716919
2010-05-05,-0.6741017699241638,2.0,1,0.04282313585281372,0.24025191366672516,0.7169249057769775
2010-05-10,0.3347902012368043,1.3333333333333333,3,0.3560999110341072,0.6225903779268265,0.021309709797302883
2010-05-12,-0.42786675225943327,1.5,2,0.07599854934960604,0.4201362207531929,0.5038653016090393
2010-05-24,0.18193134665489197,1.5,2,0.24444816261529922,0.6930350661277771,0.06251681596040726
2010-05-25,0.20342547819018364,2.0,1,0.2183600217103958,0.7667054533958435,0.014934543520212173
2010-06-09,0.8968693632632494,3.0,1,0.9159175157546997,0.0650344118475914,0.01904815249145031
2010-06-23,-0.7412927225232124,1.0,1,0.11467521637678146,0.029356781393289566,0.8559679388999939
2010-06-24,-0.018934305757284164,1.0,1,0.03992925211787224,0.9012072086334229,0.0588635578751564
2010-06-28,0.049862819723784924,1.0,1,0.06472752243280411,0.9204077124595642,0.014864702709019184
2010-07-06,0.9195760693401098,2.0,1,0.9426161646842957,0.03434373065829277,0.02304009534418583
2010-07-16,0.6752782994881272,1.0,1,0.6837939023971558,0.3076905310153961,0.00851560290902853
2010-07-26,-0.880292410030961,1.0,1,0.014775818213820457,0.0901559591293335,0.8950682282447815
2010-07-30,0.045482417568564415,1.0,1,0.07135354727506638,0.9027752876281738,0.02587112970650196
2010-08-02,-0.028486549854278564,1.0,1,0.2299881875514984,0.5115370154380798,0.258474737405777
2010-08-04,0.8794724717736244,2.0,1,0.9254565834999084,0.028559304773807526,0.04598411172628403
2010-08-19,-0.9524545986205339,2.0,1,0.012612251564860344,0.022320853546261787,0.9650668501853943
2010-08-20,0.13125119172036648,1.0,1,0.14298681914806366,0.8452775478363037,0.011735627427697182
2010-09-12,-0.9474048418924212,1.0,1,0.01435681153088808,0.023881591856479645,0.9617616534233093
2010-09-29,0.9326969012618065,1.0,1,0.951067328453064,0.030562257394194603,0.018370427191257477
2010-10-07,0.012354295700788498,2.0,1,0.04532352834939957,0.921707272529602,0.03296923264861107
2010-10-10,0.8871839828789234,2.0,1,0.9284936785697937,0.030196651816368103,0.041309695690870285
2010-10-11,0.29088945407420397,1.0,1,0.3047347664833069,0.6814199686050415,0.013845312409102917
2010-10-18,-0.901882603764534,1.0,1,0.02277974784374237,0.052557915449142456,0.9246623516082764
2010-10-26,-0.3149968720972538,2.0,1,0.03142648562788963,0.6221501231193542,0.34642335772514343
