date,sent_demand_7d,news_demand_7d,nonews_demand_7d,sent_supply_7d,news_supply_7d,nonews_supply_7d,sent_geopolitical_7d,news_geopolitical_7d,nonews_geopolitical_7d,sent_financial_7d,news_financial_7d,nonews_financial_7d
2007-09-23,0.0,0.0,1,0.0082610417157411,1.0,0,0.0059565706178545,2.0,0,0.003652099519968,1.0,0
2007-09-24,0.0,0.0,1,0.0082610417157411,1.0,0,0.0059565706178545,2.0,0,0.003652099519968,1.0,0
2007-09-25,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-26,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-27,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-28,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-29,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-30,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-10-01,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-10-02,0.0,0.0,1,0.0,0.0,1,-0.5087220221757889,1.0,0,-0.5087220221757889,1.0,0
2007-10-03,0.0,0.0,1,0.0,0.0,1,-0.5087220221757889,1.0,0,-0.5087220221757889,1.0,0
2007-10-04,0.0,0.0,1,0.0,0.0,1,-0.5087220221757889,1.0,0,-0.5087220221757889,1.0,0
2007-10-05,0.0,0.0,1,0.0,0.0,1,-0.5087220221757889,1.0,0,-0.5087220221757889,1.0,0
2007-10-06,0.0,0.0,1,0.0,0.0,1,-0.03503567120060325,3.0,0,-0.5087220221757889,1.0,0
2007-10-07,0.0,0.0,1,0.0,0.0,1,-0.03503567120060325,3.0,0,-0.5087220221757889,1.0,0
2007-10-08,0.0,0.0,1,0.0,0.0,1,-0.03503567120060325,3.0,0,-0.5087220221757889,1.0,0
2007-10-09,0.0,0.0,1,0.0,0.0,1,0.38762415712699294,3.0,0,0.0,0.0,1
2007-10-10,0.0,0.0,1,0.0,0.0,1,0.1262648350869616,4.0,0,0.0,0.0,1
2007-10-11,0.0,0.0,1,0.0,0.0,1,0.1262648350869616,4.0,0,0.0,0.0,1
2007-10-12,0.0,0.0,1,0.0,0.0,1,0.09291923162527384,5.0,0,-0.0071175787597894,1.0,0
2007-10-13,0.0,0.0,1,0.0,0.0,1,-0.22927145147696137,4.0,0,-0.0071175787597894,1.0,0
2007-10-14,0.0,0.0,1,0.0,0.0,1,-0.22927145147696137,4.0,0,-0.0071175787597894,1.0,0
2007-10-15,0.0,0.0,1,0.0,0.0,1,-0.22927145147696137,4.0,0,-0.0071175787597894,1.0,0
2007-10-16,0.0,0.0,1,0.0,0.0,1,-0.11487064161337912,4.0,0,-0.0071175787597894,1.0,0
