variable,group,is_sentiment,coef,SE_HC3,p_HC3,sig,std_beta
OilPrice,기타,False,-0.15846117755139674,0.14136851716593707,0.2623267972569425,,-0.32342061329128036
RealInterestRate,거시,False,-0.2959618290243926,0.17484078690497432,0.09050296884172178,*,-0.060121778029884464
VIX,거시,False,-0.029457308966310432,0.021887059211776024,0.17834190193518473,,-0.05907290140533366
IndustryProduction,기타,False,0.08236427838682829,0.06052404177137817,0.1735603861995133,,0.1036952991797118
CPE,기타,False,-0.0013980765667195678,0.0007677465437769208,0.0686048550671229,*,-0.2196907041400855
OilInventories,기타,False,-3.7202246471709716e-06,1.2156871153324911e-05,0.7595907372085384,,-0.01805083123388157
OPECProduction,기타,False,-0.00018579331819337666,0.00010775216176197146,0.08465995269749345,*,-0.11227445427611417
TreasuryYield,거시,False,1.1554331271861473,1.0246629073574338,0.25947930688890875,,0.06693619840810372
oil_diff_lag1,가격/추세,False,-0.06871046597895719,0.03485492733812252,0.04868646320725906,**,-0.14020987479133154
MA_ratio,가격/추세,False,-4.874008563874036,3.3452660373866507,0.14512001530180393,,-0.28685165026539533
MA_5_gt_MA_20,가격/추세,False,0.3469606271720055,0.2328105666999416,0.13614194111802544,,0.17293333730959948
vix_high,더미/이벤트,False,-0.20972664552376544,0.28631096395304345,0.46385520753146214,,-0.062136120329564684
is_friday,더미/이벤트,False,-0.10505004895854357,0.0924363043665962,0.25576461071202583,,-0.042017707679621916
gfc_2008_shock,더미/이벤트,False,-0.8512642656532121,0.7058618256795507,0.22782027420966455,,-0.1091431141560667
gfc_2008_regime,더미/이벤트,False,0.5000047452494131,0.30792948485310306,0.10442623233290453,,0.08144534090376543
opec_2014_window,더미/이벤트,False,-1.0005224941131041,0.47072130937683376,0.03354414361480789,**,-0.06454753680324483
covid_2020_window,더미/이벤트,False,-1.424848611119056,1.2218129329224885,0.24354339574764283,,-0.09661809109378895
war_2022_window,더미/이벤트,False,1.640906012645689,1.3369758199883754,0.21969985467572206,,0.11126880804665193
cond_opec_cut,더미/이벤트,False,-0.16907582592946083,0.09056856027448515,0.061925762664815635,*,-0.0729877636713217
sent_supply_7d,감성(보조),True,-0.015391679150059037,0.07843580077185781,0.8444279330278848,,-0.005868493370030341
sent_demand_7d,감성(보조),True,0.0047292640330025395,0.06939738359204142,0.9456681517553337,,0.0018779167794430419
sent_geopolitical_7d,감성(보조),True,-0.013847980712194867,0.14281031899403132,0.922752086670456,,-0.0034611825502363896
sent_financial_7d,감성(보조),True,0.0832428380282383,0.09150609650328789,0.36298223131494056,,0.030674065970485095
